ID,SMILES,SPLIT
AC12157,Cc1cc(=O)[nH]c2ccccc12,train
AC17979,Oc1ccc(-n2ccnc2)cc1,test
AC27191,Cc1cc(C)c2c(=O)[nH]cnc2n1,train
AC29806,Nc1nc(N)c2nc(CO)cnc2n1,train
AW00230,O=C(CSc1nccc(C(F)(F)F)n1)c1cccnc1,train
AW00749,Cc1nc(C(F)(F)F)ccc1C(=O)N1CCSCC1,train
AW01007,O=C(NC1CCN(c2nccc(C(F)(F)F)n2)CC1)c1cccs1,train
AW01204,O=C1c2ccccc2C(=O)N1CCCN1CCN(c2nccc(C(F)(F)F)n2)CC1,train
BR00127,CCCCCCCc1ccc(C(=O)N=C(Nc2cccc(C)n2)SC)cc1,train
BTB00115,Cc1cc(C(=O)NN)c2cc(Br)ccc2n1,train
BTB00421,Cc1cc2c(cc1C)CSC(c1ccco1)SC2,train
BTB00512,Cc1onc(-c2ccccc2Cl)c1C(=O)N1CCc2ccccc2C1,train
BTB00533,COc1ccc(NC(C)=O)c(NC(=O)c2c(-c3ccccc3Cl)noc2C)c1,train
BTB00660,Cc1onc(-c2ccccc2Cl)c1C(=O)N1c2ccccc2NC(=O)CC1C,train
BTB00794,COc1ccc2c(c1)CCCN2C(=O)c1c(-c2c(Cl)cccc2Cl)noc1C,test
BTB00796,Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)N1CCCc2ccccc21,test
BTB00797,Cc1ccc2c(c1)CCCN2C(=O)c1c(-c2c(Cl)cccc2Cl)noc1C,train
BTB00888,CCOC(=O)c1c(-c2c(Cl)cccc2Cl)noc1C,train
BTB01126,Cc1cc(=O)c2ccccc2[nH]1,test
BTB01134,CCN(Cc1ccc(CN(CC)C(=O)c2c(-c3ccccc3)noc2C)cc1)C(=O)c1c(-c2ccccc2)noc1C,test_scaffolds
BTB01148,Cc1cc(=O)c2cc(F)ccc2[nH]1,train
BTB01151,Cc1cc(=O)c2c(Cl)ccc(C)c2[nH]1,train
BTB01152,Cc1cc(=O)c2cc(Cl)ccc2[nH]1,train
BTB01411,CC(=O)Nc1ccc(NC(=O)c2c(-c3ccccc3Cl)noc2C)c(C)c1,train
BTB01412,CC(=O)Nc1ccc(NC(=O)c2c(-c3c(Cl)cccc3Cl)noc2C)c(C)c1,train
BTB01571,CC(=O)Nc1ccc(C)c(NC(=O)c2c(-c3ccccc3Cl)noc2C)c1,train
BTB01869,COc1ccc(CCNC(=O)c2ccccc2Cl)cc1OC,train
BTB01876,COc1ccc(CCNC(=O)c2c(Cl)cccc2Cl)cc1OC,train
BTB01952,Cc1onc(-c2ccccc2Cl)c1C(=O)Nc1ccc2c(c1)COCO2,test
BTB02004,CCOC(=O)c1c[nH]c2c(C)cc(Cl)cc2c1=O,train
BTB02093,Cc1nc2ccc(Br)cc2c(=O)o1,train
BTB02220,Cc1onc(-c2ccccc2Cl)c1C(=O)SCC(=O)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,train
BTB02345,CC(=O)c1c(-c2ccccc2)c2cc(Cl)ccc2[nH]c1=O,test
BTB02532,Cc1nc2c(Br)cc(Br)cc2c(=O)o1,train
BTB02677,Cc1onc(-c2ccccc2Cl)c1C(=O)Nc1cccc2cccnc12,train
BTB02712,Cc1ccc2nc(-c3c(F)cccc3Cl)oc(=O)c2c1,train
BTB02756,Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)Nc1cccc(C#N)c1,train
BTB02780,CN(C)c1ccc(-c2n[nH]c(=O)c3ccccc23)cc1N,train
BTB03140,O=c1c2ccccc2oc2ncccc12,train
BTB03394,Cc1onc(-c2ccccc2Cl)c1NC(=O)N1c2ccc(F)cc2CCC1C,train
BTB03403,Cc1onc(-c2ccccc2Cl)c1NC(=O)NCc1cccs1,train
BTB03426,Cc1onc(-c2ccccc2Cl)c1NC(=O)NCCc1ccncc1,test_scaffolds
BTB03471,Cc1onc(-c2ccccc2Cl)c1C(=O)NCCc1ccncc1,train
BTB03496,Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)NCCS(=O)(=O)c1ccccc1,train
BTB03497,Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)NCCS(=O)(=O)c1ccc(Cl)cc1,train
BTB03498,Cc1ccc(S(=O)(=O)CCNC(=O)c2c(-c3c(Cl)cccc3Cl)noc2C)cc1,train
BTB03504,Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)NCC(=O)NN,train
BTB03622,CSC1=NCCN1C(=O)c1c(-c2c(F)cccc2Cl)noc1C,test
BTB03623,CSC1=NCCN1C(=O)c1c(-c2ccccc2)noc1C,train
BTB03624,CSC1=NCCN1C(=O)c1c(-c2ccccc2Cl)noc1C,train
BTB03626,CSC1=NCCCN1C(=O)c1c(-c2c(F)cccc2Cl)noc1C,train
BTB03627,CSC1=NCCCN1C(=O)c1c(-c2ccccc2)noc1C,train
BTB03628,CSC1=NCCCN1C(=O)c1c(-c2ccccc2Cl)noc1C,train
BTB03678,CC(=O)Nc1cc(Cl)c(F)cc1NC(=O)c1c(-c2c(Cl)cccc2Cl)noc1C,train
