S.No.,smiles,name,bioactivity_class
1,CSc1cc(C)[nH]c(=O)c1CNC(=O)c1c(C)n([C@H](C)[C@H]2CCC(CC2)NC2(CF)COC2)c2ncncc12,575046,active
2,CSc1cc(C)[nH]c(=O)c1CNC(=O)c1c(C)n([C@H](C)C2CCC(CC2)N2CC(F)(C2)C2CC2)c2ncccc12,575048,active
3,CSc1cc(C)[nH]c(=O)c1CNC(=O)c1c(C)n([C@H](C)C2CCC(CC2)N2CC(O)(C2)C(C)C)c2ncccc12,575049,active
4,CSc1cc(C)[nH]c(=O)c1CNC(=O)c1c(C)n([C@H](C)[C@H]2CCC(CC2)NC2(CO)COC2)c2cc(F)ccc12,575050,active
5,CSc1cc(C)[nH]c(=O)c1CNC(=O)c1c(C)n([C@H](C)C2CCC(CC2)N2CC(C2)n2ccnn2)c2ccccc12,575052,active
6,CSc1cc(C)[nH]c(=O)c1CNC(=O)c1c(C)n([C@H](C)C2CCC(CC2)NC2(CC2)C(F)(F)F)c2ncccc12,575053,active
7,CSc1cc(C)[nH]c(=O)c1CNC(=O)c1c(C)n([C@H](C)[C@H]2CCC(CC2)NC2(COC2)C(F)(F)F)c2ncccc12,575056,active
8,CSc1cc(C)[nH]c(=O)c1CNC(=O)c1c(C)n([C@H](C)C2CCC(CC2)N2CC(C2)C(F)(F)F)c2ncccc12,574981,active
9,CSc1cc(C)[nH]c(=O)c1CNC(=O)c1c(C)n([C@H](C)C2CCC(CC2)N2CCC(C2)OC2CC2)c2ncccc12,574982,active
10,CSc1cc(C)[nH]c(=O)c1CNC(=O)c1c(C)n([C@H](C)[C@H]2CCC(CC2)N2CC(C2)OC(C)(C)C)c2ncccc12,574983,active
11,CSc1cc(C)[nH]c(=O)c1CNC(=O)c1c(C)n([C@H](C)[C@H]2CCC(CC2)N2CC(C2)OC2CC2)c2c(F)cccc12,574985,active
12,CSc1cc(C)[nH]c(=O)c1CNC(=O)c1c(C)n([C@H](C)C2CCC(CC2)N2CC(C2)OC(F)F)c2ncc(C)cc12,574988,active
13,CSc1cc(C)[nH]c(=O)c1CNC(=O)c1c(C)n([C@H](C)C2CCC(CC2)N2CC(C2)OCC(F)F)c2ncccc12,574989,active
14,CC[C@H](C1CCC(CC1)N1CC(C1)OC(F)F)n1c(C)c(C(=O)NCc2c(SC)cc(C)[nH]c2=O)c2cccnc12,574991,active
15,CSc1cc(C)[nH]c(=O)c1CNC(=O)c1c(C)n([C@H](C)C2CCC(CC2)N2CC[C@H](C2)OC(F)F)c2ncccc12,574992,active
16,CSc1cc(C)[nH]c(=O)c1CNC(=O)c1c(C)n([C@H](C)C2CCC(CC2)N2CC[C@@H](C2)OC(F)F)c2ncccc12,574993,active
17,CSc1cc(C)[nH]c(=O)c1CNC(=O)c1c(C)n([C@H](C)C2CCC(CC2)N2CC(C2)OC(F)F)c2c(F)cccc12,574994,active
18,CSc1cc(C)[nH]c(=O)c1CNC(=O)c1c(C)n([C@H](C)C2CCC(CC2)N2CC(C2)OC(F)F)c2ncc(F)cc12,574996,active
19,CSc1cc(C)[nH]c(=O)c1CNC(=O)c1c(C)n([C@H](C)[C@H]2CCC(CC2)N2CC(C2)OC(F)(F)F)c2ncncc12,574997,active
20,CSc1cc(C)[nH]c(=O)c1CNC(=O)c1c(C)n([C@H](C)C2CCC(CC2)N2CC(C2)OC2CC2)c2ncc(Cl)cc12,574999,active
21,CCOc1cc2c(cc1NC(=O)/C=C/C[NH+](C)C)c(c(cn2)C#N)Nc3ccc(c(c3)Cl)OCc4ccccn4,C03916214,inactive
22,C[C@H]1Cc2cc(ccc2O1)C(=C3[C@H](N(C(=O)C3=O)Cc4ccc[nH+]c4)c5ccc(cc5)OCc6ccccc6)O,C00703174,inactive
23,c1ccc(cc1)n2cc(c(n2)c3cccc(c3)OCc4ccccc4Cl)/C=C(\C#N)/C(=O)NCCCn5cc[nH+]c5,C01899687,inactive
24,CC1=NC(=C([C@H](C1C(=O)Nc2ccc(cc2)Cl)c3cc[nH+]cc3)C#N)SCC(=O)Nc4ccc(cc4)Br,C11024236,inactive
25,CC(C)(C)c1ccc(cc1)[C@@H]2/C(=C(/c3cc4cccc(c4o3)OC)\O)/C(=O)C(=O)N2CCC[NH+]5CCOCC5,C09280249,inactive
26,Cc1cccc(c1OCCOC[C@H](C[NH+]2CCN(CC2)CCN3C(=O)c4cccc5c4c(ccc5)C3=O)O)C,C22608918,inactive
27,Cc1cccc(c1OCCOC[C@@H](C[NH+]2CCN(CC2)CCN3C(=O)c4cccc5c4c(ccc5)C3=O)O)C,C22608922,inactive
28,Cc1ccc(cc1C)OCCOC[C@@H](C[NH+]2CCN(CC2)CCN3C(=O)c4cccc5c4c(ccc5)C3=O)O,C22822234,inactive
29,CC(C)(C)NC(=O)N(Cc1ccc(cc1)F)CC(=O)N2CCN(CC2)c3ccc(n[nH+]3)c4ccc(cc4)OC,C36064222,inactive
30,Cc1cc(cc(c1)NC(=O)[C@H]2[C@H]3C=C[C@@]4([C@@H]2C(=O)N([C@@H]4C(=O)NC5CCCCC5)CCC[NH+]6CCCCC6)O3)C,C38147185,inactive
31,CCCC[NH+](C)CCN1[C@@H]([C@@]23C=C[C@@H](O2)[C@@H]([C@@H]3C1=O)C(=O)Nc4cccc(c4)OC)C(=O)N[C@@H]5CCCC[C@@H]5C,C38147212,inactive
32,CCOc1ccc(cc1)n2c(=O)c3c4c(sc3nc2SCC(=O)Nc5ccc(cc5)Br)C[NH+](CC4)C,C01269972,inactive
33,CC[NH+](CC)CCOC(=O)c1ccc(cc1)N/C=C(/C#N)\c2nc(cs2)c3cc4cc(ccc4oc3=O)Br,C01838489,inactive
34,Cc1ccc(cc1)C2=NN([C@H](C2)c3ccc(cc3)Cl)C(=[NH2+])S[C@@H]4CC(=O)N(C4=O)c5cccc(c5)OC,C59706152,inactive
35,Cc1ccc(cc1)C2=NN([C@@H](C2)c3ccc(cc3)Br)C(=[NH2+])S[C@@H]4CC(=O)N(C4=O)c5ccc(cc5)OC,C08425590,inactive
36,C[C@@]\1(C[NH+]([C@@H](C/C1=N/CCc2ccc(c(c2)OC)OC)c3ccccc3)CCc4ccc(c(c4)OC)OC)O,C08694228,inactive
37,CCOc1ccc(cc1)N/C(=[NH+]\Cc2ccc3c(c2)OCO3)/S[C@@H]4CC(=O)N(C4=O)c5ccc(cc5)OCC,C08690313,inactive
38,COc1ccc(cc1)[C@H](CNC(=O)c2cccc(c2)S(=O)(=O)N(CC=C)c3ccccc3)[NH+]4CCCCC4,C32969152,inactive
39,CCOc1cccc(c1)c2ccc3[nH+]c(c(n3c2)CCC(=O)N4CCC(CC4)C(=O)N)c5ccc(cc5)Cl,C96294115,inactive
40,COc1ccc(cc1)NC(=O)N2CC[NH+](CC2)C[C@@H](c3cccc(c3)OC)OCc4ccc(cc4)C(=O)OC,C23445067,inactive
41,Cc1ccc(cc1)c2c(sc([n+]2CCc3ccc(c(c3)OC)OC)Nc4ccccc4)NC(=O)c5ccccc5,C97946894,inactive
42,c1ccc(cc1)n2cc(c(n2)c3cccc(c3)OCc4ccc(cc4)Cl)/C=C(/C#N)\C(=O)NCCCn5cc[nH+]c5,C97947244,inactive
43,COc1ccc(cc1)C(=O)N/C(=C\c2ccc(o2)c3ccc(c(c3)Cl)Cl)/C(=O)NCCCn4cc[nH+]c4,C97947574,inactive
44,CCOC(=O)c1c(c2cc(c(cc2[nH]1)OC)OC)NC(=O)C[NH+]3CCN(CC3)c4ccc(c(c4)Cl)Cl,C97954200,inactive
45,Cc1ccccc1C2=NN3C(=[NH2+])/C(=C\c4cc(c(c(c4)Br)OCCOc5ccccc5C)OC)/C(=O)N=C3S2,C97958628,inactive
46,Cc1ccc(cc1)C2=NN3C(=[NH2+])/C(=C/c4cccc(c4)OCCOc5ccc(cc5)Br)/C(=O)N=C3S2,C97959250,inactive
47,CC(C)CN(CC(C)C)S(=O)(=O)c1ccc(cc1)C(=O)Nc2c(c3c(s2)C[NH+](CC3)C(C)C)C(=O)OC,C97963416,inactive
48,CC1(Cc2c(c(sc2C([NH2+]1)(C)C)NC(=O)c3ccc(cc3)S(=O)(=O)N(C)C4CCCCC4)C(=O)OC)C,C97963581,inactive
49,CCOC(=O)c1c2c(sc1NC(=O)c3ccc(cc3)S(=O)(=O)N(C)c4ccccc4)C([NH2+]C(C2)(C)C)(C)C,C97963594,inactive
50,CCOC(=O)c1c2c(sc1NC(=O)c3ccc(cc3)S(=O)(=O)N4C[C@@H](O[C@H](C4)C)C)C([NH2+]C(C2)(C)C)(C)C,C97963605,inactive
51,Cc1nc2n(n1)c(c(s2)[C@H](c3ccc(c(c3)OC)OC)[NH+]4CCN(CC4)C(c5ccccc5)c6ccccc6)O,C22852772,inactive
52,CCOc1ccc(cc1)NC(=O)[C@@H]2CC(=O)N(/C(=[NH+]/c3ccc(cc3)OCC)/S2)c4ccc(cc4)OCC,C97964187,inactive
53,CCOc1ccc(cc1)NC(=O)[C@H]2CC(=O)N(/C(=[NH+]/c3ccc(cc3)OCC)/S2)c4ccc(cc4)OCC,C97964188,inactive
54,CCC[NH+](CCC)CN1c2ccc(cc2/C(=N\NC(=O)Cc3ccc(c(c3)OC)OC)/C1=O)Br,C97966241,inactive
55,Cc1ccccc1COc2ccc(cc2)C(=O)C3=C(C(=O)N([C@@H]3c4ccc(c(c4)OC)O)CCCn5cc[nH+]c5)O,C97966750,inactive
56,CCOc1ccc(cc1)N2C(=O)[C@@H](N(C2=S)Cc3cccc[nH+]3)CC(=O)Nc4ccc(cc4)C(=O)OCC,C04762267,inactive
57,CCOc1ccc(cc1)N2C(=O)[C@H](N(C2=S)Cc3cccc[nH+]3)CC(=O)Nc4ccc(cc4)C(=O)OCC,C04762269,inactive
58,CCOc1ccc(cc1)NC(=O)C[C@@H]2C(=O)N(C(=S)N2Cc3cccc[nH+]3)c4ccc(cc4)C(=O)OCC,C04762321,inactive
59,CCOc1ccc(cc1)NC(=O)C[C@H]2C(=O)N(C(=S)N2Cc3cccc[nH+]3)c4ccc(cc4)C(=O)OCC,C04762325,inactive
60,Cc1ccc(s1)CN(Cc2ccc(cc2)F)C(=O)CN(CC[NH+]3CCCCC3)C(=O)Nc4cccc(c4)F,C98019475,inactive
61,c1cc(ccc1CC[NH2+][C@H]2CC(=O)N(C2=O)c3ccc(cc3)N4C(=O)C[C@@H](C4=O)NCCc5ccc(cc5)Cl)Cl,C98044509,inactive
62,Cc1cc(c(c(=O)[nH]1)CNC(=O)c2c(n(c3c2cccn3)[C@H](C)C4CCC(CC4)[NH+]5CC(C5)OC(C)(C)C)C)SC,574983,inactive
63,C[NH+]1CCC(CC1)(C(=O)Nc2ccc(cc2)OC)N(Cc3ccccc3)C(=O)CN4C[C@@H](NC4=S)c5ccccc5,C08748353,inactive
64,c1c(c[nH+]c(c1Cl)NCCN2C(=O)[C@@H](C(=O)NC2=O)/C=N/Nc3c(cc(cn3)C(F)(F)F)Cl)C(F)(F)F,C12955995,inactive
65,c1ccc(c(c1)C(=O)NNC(=[NH2+])COc2ccc(cc2Cl)Cl)OCc3ncn(n3)c4cccc(n4)Cl,C01391246,inactive
66,Cc1cc(ccc1/C(=C/2\[C@H](N(C(=O)C2=O)CC[NH+](C)C)c3ccc(c(c3)OC)OC)/O)OCc4ccccc4,C09236852,inactive
67,Cc1cccc(c1)COc2ccc(cc2)C(=O)C3=C(C(=O)N([C@H]3c4ccc(c(c4)OC)O)CCC[NH+](C)C)O,C08915040,inactive
68,Cc1cccc(c1)COc2ccc(cc2)C(=O)[C@H]3[C@H](N(C(=O)C3=O)CCC[NH+](C)C)c4ccc(c(c4)OC)O,C08915041,inactive
69,CCOc1cc(ccc1O)[C@H]2[C@@H](C(=O)C(=O)N2CC[NH+](C)C)C(=O)c3ccc(cc3)OCc4cccc(c4)C,C09463889,inactive
70,Cc1ccc(cc1)COc2ccc(cc2OC)[C@@H]3/C(=C(/c4cccc(c4)OC)\O)/C(=O)C(=O)N3CC[NH+](C)C,C09373775,inactive
71,Cc1cc(ccc1OCc2ccccc2)/C(=C/3\[C@@H](N(C(=O)C3=O)CCC[NH+](C)C)c4ccc(c(c4)OC)O)/O,C09313033,inactive
72,c1ccc(cc1)C[NH+]2CCN(CC2)CCCNC(=O)[C@@H]3[C@H]4C=C[C@@]5([C@@H]3C(=O)N(C5)Cc6ccccc6Cl)O4,C22802302,inactive
73,Cc1ccc(cc1)C(=O)N(CC[NH+]2CCOCC2)C[C@@H]3CN(CCO3)C[C@@H](COc4ccc(cc4)Cl)O,C34691641,inactive
74,Cc1cc(ccc1C(=O)C2=C(C(=O)N([C@@H]2c3ccc(c(c3)OC)OCc4ccccc4)CC[NH+](C)C)O)OC,C35025539,inactive
75,C[C@@H]1CCCC[C@@H]1NC(=O)[C@@H]2[C@@]34C=C[C@@H](O3)[C@@H]([C@@H]4C(=O)N2Cc5ccc[nH+]c5)C(=O)Nc6cccc(c6)OC,C36066412,inactive
76,CC(C)NC(=O)N(Cc1ccccc1)CC(=O)N2CCN(CC2)c3ccc(n[nH+]3)c4ccc(c(c4)OC)OC,C36073004,inactive
77,c1cc2n(c(=O)c1)C[C@@H]3C[C@H]2CN(C3)c4ccc(cc4NC(=O)CC[NH+]5CCOCC5)C(=O)Nc6ccc(cc6)Cl,C38150058,inactive
78,c1ccc(cc1)c2nnn(n2)CC(=O)N(c3ccc(c(c3)Cl)F)[C@H](c4cccc[nH+]4)C(=O)NC5CCCCC5,C00905813,inactive
79,CC1=C([C@H](N2C(=[NH+]1)C(=CN2)C(=O)Nc3ccccc3)c4ccc(cc4OC)OC)C(=O)Nc5ccccc5OC,C08595105,inactive
80,C/C(=C(/C(=O)C(F)(F)F)\C(=O)N(c1nc2ccccc2s1)N)/N3CC[NH+](CC3)Cc4ccc5c(c4)OCO5,C59586562,inactive
81,CCCCN(CC)S(=O)(=O)c1ccc(cc1)C(=O)Nc2c(c3c(s2)C[NH+](CC3)C)C(=O)N(CC)CC,C36649612,inactive
82,C[NH+](Cc1ccccc1)Cc2cn(nn2)[C@H]3CO[C@H]4[C@@H]3OC[C@@H]4NC(=O)Nc5ccc(cc5)Oc6ccccc6,C05399769,inactive
83,C[C@H](C(=O)Nc1ccc(c(c1)OC)OC)Oc2ccc3c(c2)c4cc[nH+]c5c4n3c(=O)c6c5ccc(c6OC)OC,C70708247,inactive
84,Cc1cc(c(c2c1C(=O)/C(=C/c3ccc(c(c3OC)OC)OC)/O2)C[NH+]4CCN(CC4)Cc5ccc6c(c5)OCO6)O,C71388993,inactive
85,Cc1cc(c(c2c1C(=O)/C(=C/c3ccc(c(c3OC)OC)OC)/O2)CN4CC[NH+](CC4)Cc5ccc6c(c5)OCO6)O,C71388993,inactive
86,CCCC[NH+](C)CCCNC(=O)c1cn(c2ccc(cc2c1=O)S(=O)(=O)N3CCc4ccccc4C3)CC,C08597088,inactive
87,c1ccc(cc1)n2c(nnc2SCC(=O)NCCC[NH+]3CCOCC3)CSc4nc5ccccc5s4,C96021882,inactive
88,COC(=O)c1ccc(cc1)N2C(=O)C[C@@H](C2=O)S/C(=[NH+]\CCc3ccc(cc3)S(=O)(=O)N)/Nc4ccccc4,C08443438,inactive
89,Cc1cc(c(s1)NC(=O)CSc2nc3c(c4c(s3)CCCC4)c(=O)n2Cc5cc[nH+]cc5)C(=O)OC,C97946009,inactive
90,Cc1nc2n(n1)c(c(s2)[C@@H](c3ccc(c(c3)OC)OC)[NH+]4CCN(CC4)C(c5ccccc5)c6ccccc6)O,C22852770,inactive
91,CCOc1ccc(cc1)NC(=O)[C@@H]2CC(=O)N(/C(=[NH+]\c3ccc(cc3)OCC)/S2)c4ccc(cc4)OCC,C97964187,inactive
92,c1cc2cccc3c2c(c1)C(=O)N(C3=O)CCN4CC[NH+](CC4)C[C@H](COc5c(cc(cc5F)Br)F)O,C97985355,inactive
93,Cc1c2c(c(c[nH+]1)CO)Cc3c(nc(nc3SCC(=O)Nc4cccc(c4)OC)c5cccc(c5)OC)O2,C97986939,inactive
94,Cc1ccc(cc1)S(=O)(=O)N2CCN([C@@H]2c3ccc(cc3)OC)C(=O)CSc4[nH]c5cc(ccc5[nH+]4)C,C98008215,inactive
95,c1cc(oc1)CN(Cc2ccc3c(c2)OCO3)C(=O)CN(CCC[NH+]4CCOCC4)C(=O)Nc5ccc(c(c5)Cl)Cl,C98017706,inactive
96,COc1cc2cc[nH+]c(c2cc1OC)Cc3cc(c(cc3NC(=O)CSc4nnc(o4)c5cccs5)OC)OC,C98048349,inactive
97,C[NH+]1CCN(CC1)C(=O)c2ccc(c(c2)S(=O)(=O)Nc3cccc(c3)OC)NCCc4ccc(c(c4)OC)OC,C98049704,inactive
98,Cc1cccn2c1nc(c(c2=O)/C=C\3/C(=O)N(C(=S)S3)CCc4ccc(cc4)OC)NCCCn5cc[nH+]c5,C98228963,inactive
99,CC(C)Oc1ccc(c(c1)N2CCN(CC2)c3c4cc(c(cc4ncn3)OCCC[NH+]5CCCCC5)OC)C(=O)N,C98240112,inactive
100,Cc1cc(c(c(=O)[nH]1)CNC(=O)c2c(n(c3c2cccn3)[C@H](C)C4CCC(CC4)[NH+]5CC(C5)OCC(F)F)C)SC,574989,inactive
101,Cc1cc(nc(n1)SCC(=O)N(Cc2ccc[nH+]c2)[C@H](c3ccccc3)C(=O)Nc4ccc(cc4)OC)C,C01405480,inactive
102,C[NH+](C)CCOC(=O)c1ccc(cc1)NC(=O)CCCCCN2C(=O)/C(=C/c3ccccc3)/SC2=S,C08819689,inactive
103,C=CCNC(=S)N1CC[NH+](CC1)[C@H]2c3cccc4c3c(ccc4)[C@@H]2NS(=O)(=O)c5ccc(cc5)Cl,C09085916,inactive
104,CC[NH+](CC)CCOC(=O)c1ccc(cc1)NC(=O)CCN2C(=O)/C(=C\c3ccc(cc3)OC)/SC2=O,C09363766,inactive
105,CC[NH+](CC)CCCN1[C@H]([C@H](C(=O)C1=O)C(=O)c2c(c([nH]c2C)C(=O)OC)C)c3cccc(c3OC)OC,C09360207,inactive
106,Cc1cccc(c1)COc2ccc(cc2)C(=O)[C@H]3[C@H](N(C(=O)C3=O)CCCn4cc[nH+]c4)c5cccc(c5)O,C09461425,inactive
107,COc1ccccc1[C@H](CNC(=O)/C=C/c2ccc(c(c2)S(=O)(=O)N3CCOCC3)OC)[NH+]4CCCC4,C13146148,inactive
108,Cc1cccc(c1)COc2ccc(cc2)C(=O)[C@H]3[C@@H](N(C(=O)C3=O)CCCn4cc[nH+]c4)c5ccc(cc5)O,C13552441,inactive
