smiles,name,bioactivity_class
Cc1cc(C)c(CN2CCc3ccc(-c4c(C)noc4C)c(Cl)c3C2=O)c(=O)[nH]1,CHEMBL3929944,active
CC(C)(C)c1cc(CNC(=O)[C@@H](N)CCSC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)n[nH]1,CHEMBL3397330,inactive
CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1c(C)n([C@H](C)C2CCN(S(=O)(=O)CC)CC2)c2ccccc12,CHEMBL3605458,active
Cc1cc(C)c(CNC(=O)c2c(C)n([C@H](C)C3CCN(C)CC3)c3ccccc23)c(=O)[nH]1,CHEMBL3605454,active
Cc1cc(C)c(CNC(=O)c2cn(C(C)c3ccccc3)nc2C)c(=O)[nH]1,CHEMBL3605443,active
Cc1cc(C)c(CNC(=O)c2ccc(C(C)c3ccccc3)cc2)c(=O)[nH]1,CHEMBL3605441,active
Cc1cc(C)c(CNC(=O)c2c(C)n([C@H](C)C3CCOCC3)c3ccccc23)c(=O)[nH]1,CHEMBL3605453,active
Cc1cc(C)c(CNC(=O)c2ccc(Oc3ccccc3)cc2)c(=O)[nH]1,CHEMBL3605440,active
CCC(C)n1c(C)c(C(=O)NCc2c(C)cc(C)nc2O)c2ccccc21,CHEMBL3605451,active
COc1cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)cc2c1OCCO2,CHEMBL3605438,inactive
COC[C@@H](C)n1c(C)c(C(=O)NCc2c(C)cc(C)nc2O)c2ccccc21,CHEMBL3605452,active
CC[C@@H](c1sc2c(c1C)CN(Cc1c(C)cc(C)[nH]c1=O)CC2)C1CCN(Cc2ccnc(OC)c2)CC1,CHEMBL4128591,active
CN1CCn2nc(CNC(=O)[C@@H](N)CCSC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)cc2C1,CHEMBL3397326,inactive
CC1(C)CC(NC(=O)c2ccc(C3(c4ccccc4)CC3)cc2)CC(C)(C)N1,CHEMBL3264761,inactive
Cc1ccccc1Oc1ccc(C(=O)NC2CC(C)(C)NC(C)(C)C2)cc1,CHEMBL3264762,inactive
Cc1ccc(Oc2ccc(C(=O)NC3CC(C)(C)NC(C)(C)C3)cc2)cc1,CHEMBL3264764,inactive
CC1(C)CC(NC(=O)c2ccc(Oc3ccccc3C#N)c(Cl)c2)CC(C)(C)N1,CHEMBL3264779,active
CC1(C)CC(NC(=O)c2ccc(Oc3cccc(-c4ccncn4)c3C#N)c(Cl)c2)CC(C)(C)N1,CHEMBL3264788,active
Cc1cc(C)c(CN2CCc3c(F)cc(O[C@@H]4CCOC4)c(Cl)c3C2=O)c(=O)[nH]1,CHEMBL3946272,active
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)NCc2cc(-c3ccccc3)[nH]n2)[C@@H](O)[C@H]1O,CHEMBL3397332,active
Cc1ccccc1-n1cc(CNC(=O)[C@@H](N)CCSC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)cn1,CHEMBL3397324,inactive
Cc1cc(C)c(CNC(=O)c2cccc3c2nnn3C(C)C)c(=O)[nH]1,CHEMBL3769778,inactive
CCN(c1cc(Cl)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1)C1CCOCC1,CHEMBL3769788,inactive
CCN(c1cc(Cl)cc(C(=O)NCc2c(C)cc[nH]c2=O)c1C)C1CCOCC1,CHEMBL3771269,active
CCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(Cl)cc(N(CC)C2CCOCC2)c1C,CHEMBL3771372,active
CCN(c1cc(Cl)cc(C(=O)NCc2c(C)cc(C)n(C)c2=O)c1C)C1CCOCC1,CHEMBL3770154,active
CCN(c1cc(Cl)cc(C(=O)NCc2c(C)cc(C)nc2OC)c1C)C1CCOCC1,CHEMBL3770929,inactive
CCN(c1cc(S(=O)(=O)CC)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)[C@H]1CC[C@H](N(C)C)CC1,CHEMBL3918450,active
CCN(c1cc(Cl)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)[C@H]1CC[C@H](C(=O)O)CC1,CHEMBL3942740,active
CC1(C)CC(NC(=O)c2ccc(Oc3ccccc3C#N)cc2F)CC(C)(C)N1,CHEMBL3264771,inactive
CC1(C)CC(NC(=O)c2ccc(Oc3ccccc3C#N)c3ccccc23)CC(C)(C)N1,CHEMBL3264774,active
CC1(C)CC(NC(=O)c2ccc(Oc3ccccc3C#N)c(F)c2)CC(C)(C)N1,CHEMBL3264775,active
Cc1cc(C(=O)NC2CC(C)(C)NC(C)(C)C2)cc(C)c1Oc1ccccc1C#N,CHEMBL3264782,inactive
CC1(C)CC(NC(=O)c2ccc(Oc3ccccc3C#N)c(Cl)c2)C(F)(F)C(C)(C)N1,CHEMBL3264790,inactive
CCS(=O)(=O)N1CCC([C@@H](C)n2c(C)c(C(=O)NCc3c(OC)cc(C)[nH]c3=O)c3ccccc32)CC1,CHEMBL3605457,active
CCS(=O)(=O)N1CCC([C@@H](C)n2c(C)c(C(=O)NCc3c(C)cc(C)[nH]c3=O)c3ccccc32)CC1,CHEMBL3605455,active
Cc1cc(C)c(CNC(=O)c2c(C)n([C@H](C)c3ccccc3)c3ccccc23)c(=O)[nH]1,CHEMBL3605446,active
CCN(c1cc(/C=C/c2ccc(N3CCOCC3)nc2)cc(C(=O)NCc2c3c(c(C)[nH]c2=O)CCCC3)c1C)C1CCOCC1,CHEMBL4633751,active
