smiles,name
c1cc(F)ccc1C(N2CC[NH2+]CC2)c3ccc(F)cc3,AC10018
n1c(N)nc(SC)c(c12)nc[nH]2,AC10402
C[NH+](C)Cc1c[nH]c(c12)ccc(c2)OCc3ccccc3,AC10608
O=C([O-])c1oc(Br)cc1,AC10702
O=C([O-])[C@@H]([NH3+])Cc1c[nH]c(c12)ccc(Br)c2,AC10751
O=C([O-])c1cc(OC)cc(c1)OC,AC11546
COc(c1)ccc(c12)[nH]cc2CC[NH+](C)C,AC11641
O=C([O-])[C@@H]([NH3+])Cc1c[nH]c(c12)ccc(F)c2,AC11968
[nH]1c(=O)cc(C)c(c12)cccc2,AC12157
N1CC[n+](c12)c3c(s2)ccc(c3)N,AC12308
C[NH+](C)Cc1c[nH]c(c12)ccc(c2)OC,AC12586
C1C[NH2+]CCN1c2cc(OC)ccc2,AC12605
c1cccc([nH]2)c1c(c23)cc[nH+]c3,AC12926
O=c1cc([O-])[nH]c(c12)cccc2,AC13220
c1cccc(c2N)c1[nH+]c(c23)CCCC3,AC13350
C1CC[C@@H](O)C[N@H+]1Cc2ccccc2,AC13425
C1C[NH2+]CCN1c2c(C)cccc2,AC13917
O=C([O-])[C@@H]([NH3+])Cc(c[nH]1)c(c12)ccc(F)c2,AC14674
[NH3+]CCc1c[nH]c(c12)ccc(c2)C,AC15867
c1cncn1-c2ccc(O)cc2,AC17979
c1ncnn1-c2ccc(O)cc2,AC18635
n1c(N)[nH]c(c2c13)cccc2ccc3,AC21366
n1c[nH]c(c12)ncnc2N(C)C,AC22646
c1c(O)ccc(c12)[nH]cc2CCNC(=O)C,AC22693
c1[nH]c[nH+]c1CCNC(=O)C,AC22864
n1c(C)cc(C)c(c12)c(=O)[nH]cn2,AC27191
O=S(=O)([O-])c(n1C)nc(c12)cccc2,AC27651
FC(F)(F)c1nn(C)c([O-])c1,AC29083
CCOC(=O)c1c(N)sc(c12)CCCCC2,AC29286
n1c(C)[nH]c(c12)ccc(C(=O)[O-])c2,AC29314
o1c(=O)[nH]c(c12)ccc(Cl)c2,AC29726
Cn1c(=S)oc(c12)cccc2,AC29729
Nc1nc(SC)nc(c12)cccc2,AC29790
Nc1nc(N)nc(c12)ncc(n2)CO,AC29806
O=C([O-])[C@H](C1)[NH2+]Cc(c12)ccc(c2)O,AC30194
COC(=O)c1c[nH]c(c12)cccc2,AC30928
FC(F)(F)c1cc(C(F)(F)F)n[nH]1,AC31181
c1ccnc(c12)ccc(Cl)c2,AC31488
[O-][N+](=O)c1cccc(c12)cn[nH]2,AC32877
c1ccccc1/C=N\c2cccc(c23)cccc3,AC33318
[O-]S(=O)(=O)Oc1c[nH]c(c12)cccc2,AC33706
Nc1nsc(c12)ccc([N+]([O-])=O)c2,AC34541
O=C([O-])c(n1)ccc(c12)cccc2O,AC34762
O=C([O-])c(o1)cc(c12)cccc2OC,AC35494
CNc1nc(N)nc(n1)OCC,AC35726
O=C([O-])C1([NH3+])CCSCC1,AC36050
c1cccc(c2C(=O)[O-])c1nc(c23)cccc3,AC40022
O=C1NC(=O)c(c12)cccc2N,AC40100
[nH]1c(=O)sc(c12)cccc2,AC40197
c1cccc(c2C(=O)[O-])c1nc(c23)CCCC3,AC42043
CC1(C)[NH2+]C(C)(C)CC(=O)C1,AC42061
O=C(C)Nc1nc(cs1)-c2sccc2,AW00005
CCN(CC)S(=O)(=O)c1sc(cc1)-c2nc(C)sc2,AW00029
c1ccoc1CNS(=O)(=O)c2sc(cc2)-c3nc(C)sc3,AW00032
c1c[nH]nc1-c2sccc2,AW00038
c1c(Cl)cnc(c1C(F)(F)F)N2CC[NH+](CC2)CCO,AW00098
Clc1cc(C(F)(F)F)cnc1N2CC[NH+](CC2)CCO,AW00100
OCCN(CC1)CC[NH+]1Cc2ccc(F)cc2,AW00107
[O-][N+](=O)c1ccc(cc1)C[NH+]2CCN(CC2)CCO,AW00111
CCOC(=O)C(C(=O)OCC)/C=N/c(cc1C(F)(F)F)c(F)cc1,AW00114
[O-]n1nnc(c12)ccc(C(F)(F)F)c2,AW00118
c1c(Cl)ccc(c12)nc(s2)N3CC[NH+](CC3)CCO,AW00120
O=C1CCC(=O)N1c(cc2)ccc2S(=O)(=O)N3CCN(CC3)c4nc(C(F)(F)F)ccn4,AW00136
n1ccc(C(F)(F)F)nc1N(CC2)CCN2C(=S)Nc3cnccc3,AW00137
n1ccc(C(F)(F)F)nc1N(CC2)CCN2C(=S)Nc3c(F)cc(F)cc3,AW00138
n1ccc(C(F)(F)F)nc1N(CC2)CCN2C(=S)Nc(cc3Cl)ccc3F,AW00139
c1ccnc(c1[N+]([O-])=O)N2CC[NH+](CC2)CCO,AW00142
OCCN(CC1)CCN1c2nc(nc(c2Cl)C)-c3ncccc3,AW00143
c1n(C)nc(C(F)(F)F)c1S(=O)(=O)NCc(c2)ccc(c23)OCO3,AW00155
c1cnn(c1C(F)(F)F)-c2ccc([N+]([O-])=O)cc2,AW00166
c1cnn(c1C(F)(F)F)-c2ccc(cc2)NC(=O)c3c(C(=O)[O-])cccc3,AW00168
c1cnn(c1C(F)(F)F)-c2ccc(cc2)NC(=O)c3ccc(Cl)cc3,AW00169
c1cnn(c1C(F)(F)F)-c2ccc(cc2)NC(=O)/C=C/C(=O)[O-],AW00170
c1c(Cl)ccc(c12)nc(s2)N3CC[NH+](CC3)CCOC(=O)\C=C\C(=O)[O-],AW00174
c1cnn(c1C(F)(F)F)-c2ccc(cc2)NC(=S)Nc3cc(Cl)ccc3C,AW00178
c1cnn(c1C(F)(F)F)-c2ccc(cc2)NC(=O)Nc3ccc(OC(F)(F)F)cc3,AW00179
c1c(Cl)ccc(c12)nc(s2)N3CCN(CC3)CCOC(=O)CCC(=O)[O-],AW00180
c1c(Cl)ccc(c12)nc(s2)N3CC[NH+](CC3)CCOC(=O)CSCC(=O)[O-],AW00184
Clc1ccc(cc1Cl)NC(=S)N2CCN(CCC2)c3ncc(C(F)(F)F)cc3Cl,AW00191
c1ccncc1NC(=S)N2CCN(CCC2)c3ncc(C(F)(F)F)cc3Cl,AW00192
c1cc(Cl)ccc1NC(=S)N2CCN(CCC2)c3ncc(C(F)(F)F)cc3Cl,AW00193
c1ccccc1NC(=S)N2CCN(CCC2)c3ncc(C(F)(F)F)cc3Cl,AW00194
C1C[C@H](O2)C[C@H]([C@@H]12)C(=O)NNC(=S)NC(C)C,AW00196
FC(F)(F)c1cc(C(F)(F)F)cc(c1)NC(=S)N2CCN(CCC2)c3ncc(C(F)(F)F)cc3Cl,AW00197
FC(F)(F)Oc(cc1)ccc1NC(=O)Nc(cc2)ccc2C3=NCCO3,AW00201
CCOC(=O)C(C(=O)OCC)/C=N/CCNc(c1C(F)(F)F)nccc1,AW00203
Clc1cc(C(F)(F)F)cnc1N2CC[N@H+](CCC2)CC(=O)Nc3c(F)cccc3F,AW00211
CCOC(=O)c1c(csc1N)-c2ncc(C)cc2,AW00213
CCOC(=O)c1c(csc1N)-c2ccc(F)cc2,AW00215
c1ccccc1-c2csc(c23)ncnc3Sc4c(N)cccc4,AW00217
c1ccccc1-c2csc(c23)ncnc3Sc4ccc(F)cc4,AW00219
Clc1ccc(Cl)cc1NC(=S)Nc2ccc(cc2)Oc(cc3)ccc3OC(F)(F)F,AW00221
CCOC(=O)c1ccc(cc1)NC(=S)Nc2ccc(cc2)Oc(cc3)ccc3OC(F)(F)F,AW00222
C1CCCCCCC1NC(=S)Nc2ccc(cc2)Oc(cc3)ccc3OC(F)(F)F,AW00223
c1cccc(c1C(F)(F)F)NC(=S)Nc2ccc(cc2)Oc(cc3)ccc3OC(F)(F)F,AW00225
FC(F)(F)Oc(cc1)ccc1NC(=O)Nc2ccc(cc2)Oc(cc3)ccc3OC(F)(F)F,AW00226
Fc1ccc(cc1Cl)NC(=S)Nc2ccc(cc2)Oc(cc3)ccc3OC(F)(F)F,AW00227
Cc1nccc(C(F)(F)F)c1-c2oc(nn2)SCC(=O)c3ccc(Cl)cc3,AW00229
n1ccc(C(F)(F)F)nc1SCC(=O)c2cnccc2,AW00230
C1CNC(=S)N1c2c(C(F)(F)F)cccn2,AW00231
c1cc(F)cc(F)c1NC(=O)Nc2ccc(cc2)Oc(cc3)ccc3OC(F)(F)F,AW00233
COc1ccc(Cl)cc1NC(=S)Nc2ccc(cc2)Oc(cc3)ccc3OC(F)(F)F,AW00234
CCCCc(cc1)ccc1NC(=S)Nc2ccc(cc2)Oc(cc3)ccc3OC(F)(F)F,AW00235
c1c(C)cc(C)cc1NC(=S)Nc2ccc(cc2)Oc(cc3)ccc3OC(F)(F)F,AW00237
n1ccc(C(F)(F)F)nc1SCC(=O)Nc2ccc(Br)cc2,AW00238
FC(F)(F)c1ccc(cc1)C(=O)Nc2ccc(cc2)Oc(cc3)ccc3OC(F)(F)F,AW00240
C1CC1C(=O)Nc2ccc(cc2)Oc(cc3)ccc3OC(F)(F)F,AW00241
c1ccoc1C(=O)Nc2ccc(cc2)Oc(cc3)ccc3OC(F)(F)F,AW00242
FC(F)(F)Oc1ccc(cc1)Oc(cc2)ccc2NC(=O)/C=C/C(=O)[O-],AW00243
Fc1cccc(F)c1C(=O)Nc2ccc(cc2)Oc(cc3)ccc3OC(F)(F)F,AW00244
c1cc(Cl)c(Cl)cc1C(=O)Nc2ccc(cc2)Oc(cc3)ccc3OC(F)(F)F,AW00247
c1cccc([O-])c1C(=O)Nc2ccc(cc2)Oc(cc3)ccc3OC(F)(F)F,AW00248
FC(F)(F)Oc1ccc(cc1)Oc(cc2)ccc2NC(=O)CSCC(=O)[O-],AW00252
Clc1cc(Cl)c(Cl)cc1S(=O)(=O)[N-]c2ccc(cc2)Oc(cc3)ccc3OC(F)(F)F,AW00253
c1ccc(Cl)cc1S(=O)(=O)Nc2ccc(cc2)Oc(cc3)ccc3OC(F)(F)F,AW00255
O=C(C)Nc(cc1)c(Cl)cc1S(=O)(=O)Nc2ccc(cc2)Oc(cc3)ccc3OC(F)(F)F,AW00256
