smiles,name,bioactivity_class
C[C@H]1C(=c2cc(ccc2=[NH+]1)Cl)CCN(Cc3ccc[nH+]c3)C(=S)Nc4cc(ccc4OC)OC,C63655273,inactive
Cn1cc(c2c1cccc2)C(=O)NNC(=O)CCNS(=O)(=O)c3ccc(cc3)OC(F)(F)F,C10736994,inactive
Nc1nccc2n(cnc12)[C@@H]1C=C(CO)[C@@H](O)[C@H]1O,50096906,active
c1ccc(cc1)CC(=O)NC(=S)Nc2ccccc2C(=O)Nc3ccc(cc3)Nc4ccccc4,C14006018,inactive
Cc1cccc(c1NC(=O)C[NH+](C)Cc2nc(c3c(csc3n2)c4ccc(cc4)Cl)[O-])C,C57293376,inactive
COc1ccc(cc1OC)[C@@H]2C[C@@H](n3c(c(c(n3)C(=O)Nc4ccc5c(c4)OCO5)Cl)N2)C(F)(F)F,C00867132,inactive
C[C@H]1Cc2cc(ccc2O1)C(=O)C3=C(C(=O)N([C@H]3c4ccc(cc4)OCC=C)c5nc6ccc(cc6s5)F)O,C97956550,inactive
Cc1ccc(cc1)S(=O)(=O)NC(C)(C)C[NH+]2CCN(CC2)CC(C)(C)NS(=O)(=O)c3ccc(cc3)C,C19832601,inactive
C[NH+]1CCN(CC1)c2ccc(cc2)NC(=S)NC(=O)c3cc4ccccc4c(c3OC)Br,C08898277,inactive
COc1cc(cc(c1OC)OC)C(=O)c2cc(ccc2N/C=C(/C#N)\c3nc(cs3)c4cccc(c4)Br)Cl,C97966521,inactive
Cc1c([nH+]c(nc1N(C)CCc2ccc(c(c2)OC)OC)SCc3ccc(cc3)C(=O)NCC(C)C)C,C36064148,inactive
Cc1ccc(c(c1)NC(=O)CSC2=C([C@@H](C(=C(N2)C)C(=O)OCC=C)c3ccc(c(c3)OC)O)C#N)C,C20080879,inactive
c1ccc2c(c1)c(cc(n2)c3cccc[nH+]3)c4nn(c(=S)o4)C[NH+]5CCC[C@@H]5c6cccs6,C13070092,inactive
[H]/N=C/CCN(CCC=[NH2+])c1ccc(cc1)/C=C\2/CN(C(=[NH+]2)c3ccccc3)NC(=O)c4ccc(cc4)Cl,C16957850,inactive
COc1cc(cc(c1OC[C@@H](c2ccc3c(c2)OCCO3)O)Br)C[NH2+]Cc4ccco4,C20877198,inactive
C[C@@H]1C[C@@H]2[C@@H](c3ccc(c(c3O[C@@]24[C@@H](C1)[C@@H](NC(=[NH+]4)SCC=C)c5ccc(cc5)OC)O)O)c6ccc(cc6)OC,C97966182,inactive
CC(C)(C)CC(C)(C)NC(=O)[C@H](c1ccc(c(c1)OC)O)N(C)C(=O)Cc2ccc(cc2)Br,C36528527,inactive
COc1cc(C)[nH]c(=O)c1CN1CCc2c(Cl)cc([C@@H](OC)C3COC3)c(Cl)c2C1=O,CHEMBL4062204,active
CCN([C@H]1CC[C@@H](CC1)N(C)Cc1cccc(OC)c1)c1cc(Cl)cc(C(=O)NCc2c(C)n(CC)[nH]c2=O)c1C,310777,active
COc1ccc(cc1)N2CC[NH+](CC2)CC(=O)Nc3c4cc(ccc4[nH]c3C(=O)OC)Br,C02272260,inactive
CS(=O)(=O)Nc1ccc(c(c1)NS(=O)(=O)c2ccccc2Cl)Cl,C55588141,inactive
c1ccc2c(c1)CC[NH+](C2)[C@@H](CNC(=O)c3ccc(cc3)S(=O)(=O)N4CCCC4)c5ccsc5,C38674093,inactive
Cc1c(c2ccccc2[nH]1)C(=O)/C(=c/3\n(c(=O)/c(=C/c4cccc[nH+]4)/s3)c5ccc(cc5)Cl)/C#N,C13139819,inactive
c1cc(sc1)c2cc(c(c([nH+]2)SCc3nc(nc(n3)N4CCOCC4)N)C#N)C(F)(F)F,C12374995,inactive
CCOc1cc(ccc1OCc2ccccc2)[C@H]3C(=C(C(=O)N3CCC[NH+](C)C)O)C(=O)c4ccc5c(c4)C[C@@H](O5)C,C97969881,inactive
CCN1CC[NH+](CC1)[C@H](c2cccs2)[C@H](C)NC(=S)Nc3ccc(cc3)Br,C22784399,inactive
CC(C)C[C@@H](C(=O)NC[C@H]1CCCO1)NC(=O)[C@@H]2CC3=c4ccccc4=[NH+][C@@H]3[C@@H]5N2C(=O)c6c5cccc6,C63383564,inactive
CN(C)C12CCC(CC1)(CC2)C1(C)Oc2c(O1)c(Cl)c1CCN(Cc3c(C)cc(C)[nH]c3=O)C(=O)c1c2C,588031,active
Cc1cc(C)c(CNC(=O)c2cccc3c2ncn3C(C)C)c(=O)[nH]1,CHEMBL3770275,inactive
